user_input,response,reference,rater_1,rater_2,rater_3
Can I refuse to take a breathalyzer test?,"According to the provided context, a driver of a motor vehicle who refuses to undergo the mandatory testing as required shall be penalized by the confiscation and automatic revocation of his or her driver's license, in addition to other penalties provided herein and/or other pertinent laws, after compliance with the requirement of due process.",Refusal can lead to the confiscation and automatic revocation of driver’s license.,5,5,5
Am i allowed to lane split when riding a motorcycle?,"According to Document LTO ADMINISTRATIVE ORDER NO. AHS-2008-015.pdf, ""Lane splitting"" is prohibited along a road or a highway. Therefore, no, you are not allowed to lane split when riding a motorcycle.",Lane splitting is prohibited on roads or highways.,5,5,5
What happens if I fail one of the three test on the field sobriety test?,"If you fail one of the three field sobriety tests, the LEO shall proceed to determine your BAC level, through the use of the ABA, on site.","If you fail one of the three tests on the field sobriety test, the law enforcement officer shall proceed to determine your Blood Alcohol Concentration (BAC) level through the use of an Alcohol Breath Analyzer (ABA) on site",5,5,5
"Can I do a u turn on double solid yellow
line?","No, overtaking and crossing is NEVER permitted if there are two solid yellow lines.","No, double solid yellow lines mean no crossing or overtaking",5,5,5
Where and how far should i put the early warning device in case of a breakdown?,"According to Document FDM-Vol.-1-2nd-Edition.pdf, when a vehicle with 4 or more wheels stalls due to a motor vehicle breakdown, you should put the Early Warning Device (EWD) at a distance of 4 meters at the front and 4 meters at the rear of the stalled vehicle.",The EWD (early warning device) 4 meters at the front and 4 meters at the rear of the stalled vehicle.,5,5,5
How long is my student permit valid?,"According to the provided context, a student-driver's permit (SP) is valid for one (1) year from the date of its issuance.",The student-driver's permit is valid for a period of one (1) year,5,5,5
What is the speed limit for cars on open country roads?,"According to the provided context, the speed limit for cars on open country roads is 80 km/h.",80 km/h for passenger cars and motorcycles; 50 km/h for trucks and buses on open country roads.,4,4,4
When must a vehicle be registered again to avoid delinquency?,"According to Section 5 of REPUBLIC ACT NO. 4136.pdf, a vehicle must be registered again to avoid delinquency as follows:

1. For hire motor vehicles: on or before the last working day of February.
2. Privately-owned motor vehicles: from March 1 to the last working day of May.
3. All other motor vehicles: from June 1 to the last working day of June.

Note that the plates of such motor vehicles must be returned to the Commission in Quezon City or to the Office of the Motor Vehicles Registrar in the provincial or city agency of the Commission on or before the last working day of December of the year of issue.",Registration becomes delinquent if not renewed by the last working day of the assigned month based on vehicle classification.,2,2,2
What is the fine for driving without a valid driver’s license?,"According to Document FDM-vol.-2-2nd-Edition.pdf, the fine for driving without a valid driver's license is Php 3,000.00. In addition, the unlicensed or improperly licensed driver shall be disqualified from being granted a driver's license and driving a motor vehicle for a period of one (1) year from the payment of the fine.","A fine of Php 3,000.00 and disqualification from being granted a driver’s license and driving a motor vehicle for a period of one (1) year from the payment of the fine.",5,5,5
What is the penalty for not wearing a standard motorcycle helmet?,"According to Republic Act No. 10054, the penalty for not wearing a standard motorcycle helmet is as follows:

First Offense: One thousand five hundred pesos (Php 1,500.00)
Second Offense: Three thousand pesos (Php 3,000.00)
Third Offense: Five thousand pesos (Php 5,000.00)
Fourth and Succeeding Offenses: Ten thousand pesos (Php 10,000.00) plus confiscation of the driver's license.","Php1,500 for first offense, Php3,000 for second, Php5,000 for third, and Php10,000 plus license confiscation for fourth offense.",5,5,5
What kind of helmets are allowed under the Motorcycle Helmet Act of 2009?,Standard protective motorcycle helmets that comply with the specifications issued by the Department of Trade and Industry (DTI) are allowed under the Motorcycle Helmet Act of 2009. These helmets must bear the Philippine Standard (PS) mark or Import Commodity Clearance (ICC) of the Bureau of Product Standards (BPS).,Only helmets bearing the DTI’s PS or ICC certification marks are allowed for use and sale.,5,5,5
Are tricycle drivers required to wear helmets?,"According to the provided context, tricycle drivers are exempted from complying with the mandatory wearing of motorcycle helmets, as stated in Republic Act No. 10054. 

(Exemption: Drivers of tricycles shall be exempted from complying with the mandatory wearing of motorcycle helmets.)","No, tricycle drivers are exempted from the mandatory helmet requirement.",5,5,5
What age of children are prohibited from sitting in the front seat?,"According to Republic Act No. 8750, infants and/or children with ages six (6) years and below shall be prohibited to sit in the front seat of any running motor vehicle.",Children aged six years and below are not allowed to sit in the front seat of any motor vehicle.,5,5,5
Is it mandatory for manufacturers to install seat belts before selling vehicles?,"Yes, it is mandatory for manufacturers to install seat belts before selling vehicles. According to Section 7 of Republic Act No. 8750, car manufacturers, assemblers, and distributors are required to ensure that seat belt devices are properly installed before the distribution and sale of the said vehicles as determined by the IRR thereon.","Yes, all vehicle manufacturers must install seat belt devices before distribution and sale.",5,5,5
What does a single yellow line with broken white lines mean?,"According to the provided context, a single yellow line with broken white lines means ""No overtaking but crossing is allowed on the side of the solid yellow line. Overtaking and crossing is allowed on the side of the broken white line.""",No overtaking but crossing is allowed on the side of the solid yellow line. Overtaking and crossing is allowed on the side of the broken white line,5,5,5
What is the fine for using a mobile phone while driving?,"First Offense - Three Thousand Pesos (Php 3,000.00)
Second Offense - Five Thousand Pesos (Php 5,000.00)
Third Offense - Ten Thousand Pesos (Php 10,000.00)","A fine of five thousand pesos (Php5,000.00) for the first offense. A fine of ten thousand pesos (Php10,000.00) for the second offense. A fine of fifteen thousand pesos (Php15,000.00) and suspension of driver’s license for three (3) months for the third offense. A fine of twenty thousand pesos (Php20,000.00) and revocation of driver’s license for the fourth and succeeding offense",1,1,1
Can right-hand drive vehicles be registered in the Philippines?,"According to Republic Act No. 8506, it is unlawful to register or operate any vehicle with a right-hand steering wheel in any highway, street, or road in the Philippines, except for vintage automobiles manufactured before 1960, or vehicles used exclusively for officially sanctioned motorsports events.","No, registration and operation of right-hand drive vehicles are prohibited, except for motorsports, vintage or off-road use.",5,5,5
What is the fine for not wearing a seat belt while driving?,"According to Republic Act No. 8750, the fine for not wearing a seat belt while driving is as follows:

First Offense: Php 1,000.00
Second Offense: Php 2,000.00
Third and Succeeding Offenses: Php 5,000.00 plus one (1) week suspension of driver's license counting from the payment of fine.","Php1,000 for first offense, Php2,000 for second, Php5,000 and one-week license suspension for third and subsequent offenses.",5,5,5
What is required for motorcycles to enter expressways?,"According to the provided context, for motorcycles to enter expressways, they must meet the following requirements:

- Have an engine displacement of at least 400 cubic centimeters (cc)
- Not have sidecars attached and have only two wheels
- Only have one backrider
- Be roadworthy and comply with all provisions of the Land Transportation and Traffic Code (RA 4136 as amended)
- Be duly licensed by the Land Transportation Office (LTO) and have complied with all licensing requirements
- Have the motorcycle operator duly licensed
- Comply with all safety requirements prescribed by competent authorities
- Travel with their headlights on at all times
- Have operational tail lights and turn signal lights
- Not carry cargo other than saddle bags or tugga9 carriers specifically designed and approved by the DTI
- Wear standard helmets, including the backrider",Motorcycles must have an engine displacement of at least 400cc to be allowed on expressways.,5,5,5
Are speed limiters required for all vehicles?,"According to the provided context, speed limiters are required for certain types of vehicles, specifically:

- Public utility vehicles (PUVs)
- Shuttle services
- Tanker trucks
- Vehicles with a gross vehicle weight rating (GVWR) of 4,500 kg or more

However, the context does not explicitly state that speed limiters are required for all vehicles.","No, only certain types of vehicles are required to have speed limiters installed. These include closed vans, haulers or cargo trailers, (PUVs) Public Utility Vehicles, shuttle services, and tanker trucks.",5,5,5
What does a flashing red light mean?,"According to the provided context, a flashing red light means you must stop and then go only when it is safe to do so (Document FDM-Vol.-1-2nd-Edition.pdf, question 9).",It means bring your vehicle to a STOP and proceed only when it is safe.,5,5,5
What does a flashing green light mean?,A flashing green light means proceed with caution and be prepared for pedestrians who might cross the street. This signal is usually seen on intersections where pedestrian crossing button is available.,It means proceed with caution and be prepared for pedestrians who might cross the street. This signal is usually seen on intersections where pedestrian crossing button is available.,5,5,5
What is the speed limit in a school zone?,"According to the provided context, the speed limit in a school zone is 20 km per hour for all vehicles, as stated in REPUBLIC ACT NO. 4136.pdf and LTO ADMINISTRATIVE ORDER NO. AHS-2008-015.pdf.",20 km/h,5,5,5
Are backriders on motorcycles required to wear helmets?,"Yes, backriders on motorcycles are required to wear helmets. According to Republic Act No. 10054, ""All motorcycle riders, including drivers and back riders, shall at all times wear standard protective motorcycle helmets while driving, whether long or short drives, in any type of road and highway.""","Yes, under the Motorcycle Helmet Act of 2009 (RA 10054)",5,5,5
When can I overtake on the opposite lane on a two-lane road?,"According to the provided context, you can overtake on the opposite lane on a two-lane road when:

- There are no oncoming traffic for a sufficient distance ahead to permit such overtaking or passing to be made in safety (Document FDM-Vol.-1-2nd-Edition.pdf, Section 1).
- The left side is clearly visible and is free of oncoming traffic for a sufficient distance ahead to permit such overtaking or passing to be made in safety (Document REPUBLIC ACT NO. 4136.pdf, Section 41).
- The left side is not clearly visible and is not free of oncoming traffic for a sufficient distance to pass in safely (Document FDM-vol.-2-2nd-Edition.pdf, Section 16).
- The left side is not clearly visible and is not free of oncoming traffic for a sufficient distance to pass in safely (Document FDM-Vol.-1-2nd-Edition.pdf, Section 1).

However, it is generally not recommended to overtake on the opposite lane on a two-lane road, as it can be hazardous and may result in accidents.

Note: The context does not provide specific information on the speed limit or the distance required for overtaking on the opposite lane.",Check if the left lane is clear and if the road markings allow it. You can only overtake on the opposite lane if the pavement is marked with BROKEN WHITE or YELLOW LINES,4,4,4
"If I got caught driving with an expired or/cr or registration, Whats are the fines and penalties","According to the provided context, driving with an expired, revoked, suspended, or invalid registration is considered a violation. The fine for this violation is Php 10,000.00. In addition, the motor vehicle shall be impounded and shall be released only upon its valid registration and payment of the fine.

(Section 80, A. DRIVING AN UNREGISTERED MOTOR VEHICLE, FDM-vol.-2-2nd-Edition.pdf)","The fine for driving with an unregistered or expired vehicle registration is ₱10,000.00. If the violation exceeds one (1) month, the vehicle will be impounded and released only after valid registration and payment of all fines and penalties. If the vehicle has an undocumented engine, it will be impounded and barred from registration for one (1) year, and the undocumented engine will be confiscated in favor of the government.",3,3,4
